Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-9.83860433156902E-06,0.149850814670592,-0.791226497586037,0,0,0,210.520145508308,94.6081580348792,-4.79354583401981E-05,4.48798056105204E-05,115.632562660079,11.8397721927448,145.89854453167,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/base.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/base.STL,,bodycase-1;upper_basee-1;one_base-1;CAMERA_LINK2-1;VR_Link1_v3-1;x-430-1;x-430-2;CAMERA_HEAD_motor_v5_bottom-1;acr-1;CAMERA_HEAD_motor_v5 top-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,2.47397317565679E-05,0.00352448443745301,0.0520878199267876,0,0,0,2.94161243820951,0.0106200517809992,-1.89261933122907E-05,3.06857456854742E-06,0.0099234023538503,0.000162263144311159,0.0150373111967169,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link1.STL,,RB20-1900ES_BASE-2,Origin_joint1,Axis_joint1,joint1,continuous,0.345,0,0,1.5707963267949,-0.0732624051864699,-3.14159265358979,base,0,0,1,,,,,,,,,,,,
link2,7.74338783982031E-06,0.0180015719133768,0.159974541111227,0,0,0,2.60281502325875,0.00840565671974392,2.30648230617795E-06,-2.12745422034752E-06,0.00855603041378285,0.00228222512468144,0.0087907870152715,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link2.STL,,RB20-1900ES_LINK1-2,Origin_joint2,Axis_joint2,joint2,continuous,0,0,0.0935489449635794,0,0,-1.60570163938842,link1,0,0,1,,,,,,,,,,,,
link3,-1.34934652801233E-06,-0.25294340565573,0.46477016468655,0,0,0,18.7646252623897,0.486219714792646,-2.2898043345208E-06,2.37493364689577E-06,0.486996079085685,-1.4727219019085E-05,0.0565979506075105,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link3.STL,,RB20-1900ES_LINK2-2,Origin_joint3,Axis_joint3,joint3,continuous,0,-0.00034898225030594,0.14675105503642,3.14159265358972,1.53372688920277,3.14159265358973,link2,0,1,0,,,,,,,,,,,,
link4,2.8852401111612E-06,-0.0773598865373835,0.0134636505554932,0,0,0,3.54298234055506,0.00990031290094014,-1.06839609390411E-08,1.78804412162678E-07,0.0101542545778609,-0.00229697867831994,0.0102838440330496,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link4.STL,,RB20-1900ES_LINK3-2,Origin_joint4,Axis_joint4,joint4,continuous,0,0,0.884999999999989,3.14159265358899,-1.55530909308773,-3.14159265358899,link3,0,1,0,,,,,,,,,,,,
link5,4.41152676133871E-06,-0.0700886795213416,0.372406971073142,0,0,0,10.1984648970475,0.385474985386779,3.97382458265649E-07,-4.47657157109319E-07,0.358972897183227,0.0890479388755992,0.0472591746542673,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link5.STL,,RB20-1900ES_LINK4-2,Origin_joint5,Axis_joint5,joint5,continuous,0,-0.0661510177497045,0.0762615293319013,0,0,1.52575034019283,link4,0,0,1,,,,,,,,,,,,
link6,-3.10838969935778E-06,-0.00458683841173568,0.00954381967293139,0,0,0,1.17891671081572,0.00135048924847834,-9.01775348445262E-10,-3.27431999942958E-08,0.00136380336368904,-0.000318692852165411,0.00143060472609911,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link6.STL,,RB20-1900ES_LINK5-2,Origin_joint6,Axis_joint6,joint6,continuous,0,0,0.808738470668031,0,-0.0807964323798433,0,link5,0,1,0,,,,,,,,,,,,
link7,-2.37394919248013E-05,-0.0003354858152253,0.0365056983720199,0,0,0,0.424230999670951,0.000299223647867548,-1.33004676248762E-08,1.66920321055874E-07,0.000302897609556963,2.23102679888702E-08,0.000490641798779995,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link7.STL,,RB20-1900ES_LINK6-2,Origin_joint7,Axis_joint7,joint7,continuous,0,0,0.0631892387201386,0,0,0.377893780004331,link6,0,0,1,,,,,,,,,,,,
link8,2.47368995258679E-05,0.00352448407270206,0.0520878206292635,0,0,0,2.94161256403145,0.0106200518685206,-1.89262230043393E-05,3.06885688599549E-06,0.00992340269513543,0.000162263202577407,0.0150373114809957,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link8.STL,,RB20-1900ES_BASE-1,Origin_joint8,Axis_joint8,joint8,continuous,-0.345000000000007,0,0,-1.57079632679489,1.27572975941174,0,base,0,0,1,,,,,,,,,,,,
link9,7.77735156687331E-06,0.0180015592736388,0.159721266604027,0,0,0,2.60281476891797,0.00840565625279258,2.30654280884875E-06,-2.12719701174962E-06,0.00855602792804681,0.00228222549355325,0.00879078520216804,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v4_onlyarm_urdf_1.0/meshes/link9.STL,,RB20-1900ES_LINK1-1,Origin_joint9,Axis_joint9,joint9,continuous,0,0,0.0938022498685929,0,0,-2.88720498390202,link8,0,0,1,,,,,,,,,,,,
